postcode,longitude,latitude
M20 6RE,-2.231334,53.417088
OL1 4NX,-2.080649,53.566469
L1 9AA,-2.973709,53.401379
BR2 8LX,0.04596,51.377554
N17 9SJ,-0.059414,51.597004
DY9 8JX,-2.117052,52.458181
BL6 7AF,-2.549978,53.601209
DT11 9HN,-2.132729,50.858855
PL7 4QN,-4.079147,50.392123
TQ1 4PR,-3.521871,50.481663
BB4 8HH,-2.289474,53.708959
NE11 9SY,-1.671267,54.962133
CF24 4QQ,-3.1799,51.496987
B3 1HL,-1.90301,52.48543
WC2A 2JR,-0.111772,51.514455
B75 5BE,-1.831291,52.591856
N14 6JS,-0.127689,51.633367
SE25 6SG,-0.08737,51.40388
W1D 2DU,-0.131904,51.516178
BR1 2RU,0.033457,51.403788
DN31 2LP,-0.092231,53.564607
MK11 1AQ,-0.853054,52.057181
NG11 6NL,-1.13245,52.903966
WC1A 2RP,-0.122636,51.518038
CH63 8PP,-3.027122,53.354673
WF8 2FF,-1.284337,53.706023
WD18 7RR,-0.410088,51.652148
DE15 0HX,-1.605179,52.804536
TW8 0BT,-0.301262,51.483836
NG32 3PD,-0.505523,52.974518
N18 2SW,-0.065379,51.610547
SO50 5GE,-1.359692,50.967828
SO21 2JH,-1.391954,51.039101
CM20 1QP,0.089939,51.772274
BD10 0PQ,-1.701289,53.843174
S60 1DX,-1.383826,53.417642
SK2 7LZ,-2.127316,53.389356
E2 6FX,-0.057268,51.524786
WC1X 0AE,-0.112179,51.523428
M38 9NH,-2.408131,53.529288
NP19 4NS,-2.954378,51.579002
RG12 1QS,-0.766662,51.415003
IP15 5DG,1.599924,52.147838
SW6 1RP,-0.196963,51.486408
HA2 7ST,-0.361445,51.584758
S71 1AN,-1.473495,53.553204
SE1 8UL,-0.110282,51.50275
RH6 9HD,-0.158357,51.169666
NW9 9NL,-0.274947,51.582646
WC1R 4PA,-0.11716,51.518982
G5 9EQ,-4.258247,55.852782
W13 0NU,-0.327533,51.512548
E6 1AE,0.036345,51.537003
CF14 8LH,,
SL6 2ED,-0.686332,51.502784
M35 9DU,-2.150131,53.515077
